location,latitude,longitude,price
Brooklyn,40.678143,-73.87484,12000.0
Brooklyn,40.615005,-73.977654,10.0
Brooklyn,40.600636,-73.993561,3000.0
Brooklyn,40.682171,-73.942146,5000.0
Brooklyn,40.610828,-73.952194,2250000.0
Brooklyn,40.684193,-73.950645,1750000.0
Brooklyn,40.678715,-73.958183,3643437.0
Brooklyn,40.633991,-73.977371,1100000.0
Brooklyn,40.601078,-73.95919,1475000.0
Brooklyn,40.68251,-73.959877,975000.0
Brooklyn,40.725204,-73.948883,1195000.0
Brooklyn,40.713791,-73.950554,2750000.0
Brooklyn,40.607601,-73.953377,370000.0
Brooklyn,40.672771,-73.972534,620000.0
Brooklyn,40.718815,-73.951294,1055000.0
Brooklyn,40.616787,-73.998932,800000.0
Brooklyn,40.625675,-74.035446,2300000.0
Brooklyn,40.59853,-73.983932,1470000.0
Brooklyn,40.609985,-73.923828,795000.0
Brooklyn,40.601841,-73.995529,460000.0
Brooklyn,40.633671,-73.949478,886000.0
Brooklyn,40.677399,-73.940918,1298268.0
Brooklyn,40.694633,-73.998108,1999000.0
Brooklyn,40.685181,-73.924988,1300000.0
Brooklyn,40.607773,-73.969048,1500000.0
Brooklyn,40.621216,-74.003311,1750000.0
Brooklyn,40.688606,-73.953857,600000.0
Brooklyn,40.686993,-74.000496,1345000.0
Brooklyn,40.670177,-73.948647,1600000.0
Brooklyn,40.61734,-74.008209,975000.0
Brooklyn,40.638889,-73.9552,1815000.0
Brooklyn,40.727528,-73.946671,2050000.0
Brooklyn,40.613468,-74.011765,1300000.0
Brooklyn,40.6325,-73.997925,1315000.0
Brooklyn,40.668762,-73.881866,366000.0
Brooklyn,40.608353,-73.911331,850000.0
Brooklyn,40.627235,-73.992355,1500000.0
Brooklyn,40.6786,-73.934181,825900.0
Brooklyn,40.624577,-73.940353,984000.0
Brooklyn,40.632729,-73.913574,840000.0
Brooklyn,40.62075,-74.010963,1020000.0
Brooklyn,40.61734,-74.008209,975000.0
Brooklyn,40.638889,-73.9552,1815000.0
Brooklyn,40.670177,-73.948647,1600000.0
Brooklyn,40.686993,-74.000496,1345000.0
Brooklyn,40.621216,-74.003311,1750000.0
Brooklyn,40.688606,-73.953857,600000.0
Brooklyn,40.631191,-73.996796,1215000.0
Brooklyn,40.657787,-73.955696,255000.0
Brooklyn,40.674492,-73.96405,670000.0
Brooklyn,40.670403,-73.972549,3400000.0
Brooklyn,40.695911,-73.99646,1299920.0
Brooklyn,40.69231,-73.956657,650000.0
Brooklyn,40.586903,-73.932961,365000.0
Brooklyn,40.709511,-73.967766,1425000.0
Brooklyn,40.676563,-73.964256,810000.0
Brooklyn,40.680237,-73.968109,6700000.0
Brooklyn,40.718441,-73.963882,568800.0
Brooklyn,40.689816,-73.994873,595000.0
Brooklyn,40.66901,-73.97773,4585500.0
Brooklyn,40.610844,-73.952049,2250000.0
Brooklyn,40.608353,-73.911331,850000.0
Brooklyn,40.613468,-74.011765,1300000.0
Brooklyn,40.632729,-73.913574,840000.0
Brooklyn,40.6786,-73.934181,825900.0
Brooklyn,40.668762,-73.881866,366000.0
Brooklyn,40.6325,-73.997925,1315000.0
Brooklyn,40.624577,-73.940353,984000.0
Brooklyn,40.628273,-74.036865,4150000.0
Brooklyn,40.580513,-73.96273,450000.0
Brooklyn,40.665798,-73.930023,160000.0
Brooklyn,40.718441,-73.963882,538050.0
Brooklyn,40.635769,-74.002052,524493.0
Brooklyn,40.604382,-73.975883,700000.0
Brooklyn,40.586903,-73.932961,191000.0
Brooklyn,40.714401,-73.958954,5350000.0
Brooklyn,40.732582,-73.959518,1825000.0
Brooklyn,40.575447,-73.998306,610000.0
Brooklyn,40.63726,-73.9123,1040000.0
Brooklyn,40.698227,-73.922195,1280000.0
Brooklyn,40.587727,-73.971397,225000.0
